Foil_Thickness: 02
VELOCITY        HEIGHT          MACH    
160.603        0.0        0.0
10.0        105.903873        0.051
10.0        423.615494        0.102
10.0        953.13486        0.154
10.0        1694.461974        0.205
10.0        2647.596835        0.256
10.0        3812.539442        0.308
10.0        5189.289796        0.359
60.20101        6777.847897        0.411
160.603        8578.213744        0.462
60.20101        10590.387339        0.514
10.0        12814.36868        0.566
60.20101        15250.157768        0.619
60.20101        17897.754602        0.671
60.20101        20757.159184        0.724
160.603        23828.371512        0.777
160.603        27111.391587        0.83
160.603        30606.219409        0.884
311.206        34312.854977        0.937
311.206        38231.298292        0.991
461.809        42361.549354        1.046
712.8141        46703.608163        1.101
1014.02        51257.474719        1.156
1365.427        56023.149021        1.211
2771.055        61000.63107        1.267
2771.055        66189.920866        1.324
4829.296        71591.018409        1.38
4829.296        77203.923698        1.438
4829.296        83028.636735        1.495
4829.296        89065.157518        1.554
4829.296        95313.486047        1.613
4829.296        101773.622324        1.672
4829.296        108445.566347        1.732
5933.719        115329.318117        1.792
5933.719        122424.877634        1.853
5933.719        129732.244898        1.915
5933.719        137251.419908        1.978
5933.719        144982.402666        2.041
5933.719        152925.19317        2.105
5933.719        161079.79142        2.169
5933.719        169446.197418        2.234
6887.538        178024.411162        2.3
6887.538        186814.432653        2.367
6887.538        195816.261891        2.435
6887.538        205029.898875        2.504
6887.538        214455.343607        2.573
6887.538        224092.596085        2.643
6887.538        233941.65631        2.715
7891.558        244002.524282        2.787
7891.558        254275.2        2.86

Foil_Thickness: 04
VELOCITY        HEIGHT          MACH    
10.0        0.0        0.0
160.603        105.903873        0.051
60.20101        423.615494        0.102
210.804        953.13486        0.154
60.20101        1694.461974        0.205
110.402        2647.596835        0.256
60.20101        3812.539442        0.308
60.20101        5189.289796        0.359
60.20101        6777.847897        0.411
60.20101        8578.213744        0.462
110.402        10590.387339        0.514
160.603        12814.36868        0.566
110.402        15250.157768        0.619
160.603        17897.754602        0.671
210.804        20757.159184        0.724
461.809        23828.371512        0.777
763.0151        27111.391587        0.83
913.6181        30606.219409        0.884
1265.025        34312.854977        0.937
1817.236        38231.298292        0.991
2620.452        42361.549354        1.046
3373.467        46703.608163        1.101
4377.487        51257.474719        1.156
5281.106        56023.149021        1.211
8644.573        61000.63107        1.267
8644.573        66189.920866        1.324
10.0        71591.018409        1.38
10.0        77203.923698        1.438
10.0        83028.636735        1.495
10.0        89065.157518        1.554
10.0        95313.486047        1.613
10.0        101773.622324        1.672
10.0        108445.566347        1.732
60.20101        115329.318117        1.792
60.20101        122424.877634        1.853
60.20101        129732.244898        1.915
60.20101        137251.419908        1.978
60.20101        144982.402666        2.041
60.20101        152925.19317        2.105
60.20101        161079.79142        2.169
60.20101        169446.197418        2.234
10.0        178024.411162        2.3
10.0        186814.432653        2.367
10.0        195816.261891        2.435
10.0        205029.898875        2.504
10.0        214455.343607        2.573
10.0        224092.596085        2.643
10.0        233941.65631        2.715
110.402        244002.524282        2.787
110.402        254275.2        2.86

Foil_Thickness: 06
VELOCITY        HEIGHT          MACH    
60.20101        0.0        0.0
60.20101        105.903873        0.051
512.0101        423.615494        0.102
461.809        953.13486        0.154
461.809        1694.461974        0.205
562.2111        2647.596835        0.256
913.6181        3812.539442        0.308
612.4121        5189.289796        0.359
712.8141        6777.847897        0.411
813.2161        8578.213744        0.462
963.8191        10590.387339        0.514
1265.025        12814.36868        0.566
1415.628        15250.157768        0.619
1716.834        17897.754602        0.671
2369.447        20757.159184        0.724
4477.889        23828.371512        0.777
5732.915        27111.391587        0.83
7540.151        30606.219409        0.884
9799.196        34312.854977        0.937
10.0        38231.298292        0.991
60.20101        42361.549354        1.046
10.0        46703.608163        1.101
10.0        51257.474719        1.156
110.402        56023.149021        1.211
210.804        61000.63107        1.267
210.804        66189.920866        1.324
10.0        71591.018409        1.38
10.0        77203.923698        1.438
10.0        83028.636735        1.495
10.0        89065.157518        1.554
10.0        95313.486047        1.613
10.0        101773.622324        1.672
10.0        108445.566347        1.732
60.20101        115329.318117        1.792
60.20101        122424.877634        1.853
60.20101        129732.244898        1.915
60.20101        137251.419908        1.978
60.20101        144982.402666        2.041
60.20101        152925.19317        2.105
60.20101        161079.79142        2.169
60.20101        169446.197418        2.234
10.0        178024.411162        2.3
10.0        186814.432653        2.367
10.0        195816.261891        2.435
10.0        205029.898875        2.504
10.0        214455.343607        2.573
10.0        224092.596085        2.643
10.0        233941.65631        2.715
10.0        244002.524282        2.787
10.0        254275.2        2.86

Foil_Thickness: 08
VELOCITY        HEIGHT          MACH    
10.0        0.0        0.0
10.0        105.903873        0.051
210.804        423.615494        0.102
210.804        953.13486        0.154
210.804        1694.461974        0.205
261.005        2647.596835        0.256
311.206        3812.539442        0.308
311.206        5189.289796        0.359
411.608        6777.847897        0.411
512.0101        8578.213744        0.462
512.0101        10590.387339        0.514
612.4121        12814.36868        0.566
763.0151        15250.157768        0.619
1114.422        17897.754602        0.671
1265.025        20757.159184        0.724
2670.653        23828.371512        0.777
3473.869        27111.391587        0.83
4628.492        30606.219409        0.884
6084.322        34312.854977        0.937
8142.563        38231.298292        0.991
110.402        42361.549354        1.046
210.804        46703.608163        1.101
10.0        51257.474719        1.156
60.20101        56023.149021        1.211
10.0        61000.63107        1.267
10.0        66189.920866        1.324
10.0        71591.018409        1.38
10.0        77203.923698        1.438
10.0        83028.636735        1.495
10.0        89065.157518        1.554
10.0        95313.486047        1.613
10.0        101773.622324        1.672
10.0        108445.566347        1.732
60.20101        115329.318117        1.792
60.20101        122424.877634        1.853
60.20101        129732.244898        1.915
60.20101        137251.419908        1.978
60.20101        144982.402666        2.041
60.20101        152925.19317        2.105
60.20101        161079.79142        2.169
60.20101        169446.197418        2.234
10.0        178024.411162        2.3
10.0        186814.432653        2.367
10.0        195816.261891        2.435
10.0        205029.898875        2.504
10.0        214455.343607        2.573
10.0        224092.596085        2.643
10.0        233941.65631        2.715
10.0        244002.524282        2.787
10.0        254275.2        2.86

Foil_Thickness: 10
VELOCITY        HEIGHT          MACH    
411.608        0.0        0.0
562.2111        105.903873        0.051
210.804        423.615494        0.102
261.005        953.13486        0.154
261.005        1694.461974        0.205
261.005        2647.596835        0.256
261.005        3812.539442        0.308
311.206        5189.289796        0.359
361.407        6777.847897        0.411
411.608        8578.213744        0.462
512.0101        10590.387339        0.514
662.6131        12814.36868        0.566
863.4171        15250.157768        0.619
1014.02        17897.754602        0.671
1214.824        20757.159184        0.724
2771.055        23828.371512        0.777
3423.668        27111.391587        0.83
4628.492        30606.219409        0.884
5983.92        34312.854977        0.937
8092.362        38231.298292        0.991
60.20101        42361.549354        1.046
10.0        46703.608163        1.101
10.0        51257.474719        1.156
60.20101        56023.149021        1.211
60.20101        61000.63107        1.267
60.20101        66189.920866        1.324
60.20101        71591.018409        1.38
60.20101        77203.923698        1.438
60.20101        83028.636735        1.495
60.20101        89065.157518        1.554
60.20101        95313.486047        1.613
60.20101        101773.622324        1.672
60.20101        108445.566347        1.732
10.0        115329.318117        1.792
10.0        122424.877634        1.853
