Root_Chord: 0.6
VELOCITY        HEIGHT          MACH    
60.20101        0.0        0.0
60.20101        105.903873        0.051
60.20101        423.615494        0.102
10.0        953.13486        0.154
110.402        1694.461974        0.205
10.0        2647.596835        0.256
10.0        3812.539442        0.308
160.603        5189.289796        0.359
10.0        6777.847897        0.411
60.20101        8578.213744        0.462
10.0        10590.387339        0.514
60.20101        12814.36868        0.566
60.20101        15250.157768        0.619
60.20101        17897.754602        0.671
60.20101        20757.159184        0.724
110.402        23828.371512        0.777
160.603        27111.391587        0.83
210.804        30606.219409        0.884
311.206        34312.854977        0.937
411.608        38231.298292        0.991
763.0151        42361.549354        1.046
1014.02        46703.608163        1.101
1516.03        51257.474719        1.156
1967.839        56023.149021        1.211
4226.884        61000.63107        1.267
4226.884        66189.920866        1.324
7891.558        71591.018409        1.38
7891.558        77203.923698        1.438
7891.558        83028.636735        1.495
7891.558        89065.157518        1.554
7891.558        95313.486047        1.613
7891.558        101773.622324        1.672
7891.558        108445.566347        1.732
160.603        115329.318117        1.792
160.603        122424.877634        1.853
160.603        129732.244898        1.915
160.603        137251.419908        1.978
160.603        144982.402666        2.041
160.603        152925.19317        2.105
160.603        161079.79142        2.169
160.603        169446.197418        2.234
10.0        178024.411162        2.3
10.0        186814.432653        2.367
10.0        195816.261891        2.435
10.0        205029.898875        2.504
10.0        214455.343607        2.573
10.0        224092.596085        2.643
10.0        233941.65631        2.715
10.0        244002.524282        2.787
10.0        254275.2        2.86

Root_Chord: 0.7
VELOCITY        HEIGHT          MACH    
10.0        0.0        0.0
10.0        105.903873        0.051
60.20101        423.615494        0.102
60.20101        953.13486        0.154
110.402        1694.461974        0.205
60.20101        2647.596835        0.256
60.20101        3812.539442        0.308
60.20101        5189.289796        0.359
60.20101        6777.847897        0.411
60.20101        8578.213744        0.462
60.20101        10590.387339        0.514
60.20101        12814.36868        0.566
60.20101        15250.157768        0.619
110.402        17897.754602        0.671
160.603        20757.159184        0.724
461.809        23828.371512        0.777
512.0101        27111.391587        0.83
712.8141        30606.219409        0.884
1014.02        34312.854977        0.937
1566.231        38231.298292        0.991
2419.648        42361.549354        1.046
3524.07        46703.608163        1.101
5030.101        51257.474719        1.156
6285.126        56023.149021        1.211
10.0        61000.63107        1.267
10.0        66189.920866        1.324
60.20101        71591.018409        1.38
60.20101        77203.923698        1.438
60.20101        83028.636735        1.495
60.20101        89065.157518        1.554
60.20101        95313.486047        1.613
60.20101        101773.622324        1.672
60.20101        108445.566347        1.732
10.0        115329.318117        1.792
10.0        122424.877634        1.853
10.0        129732.244898        1.915
10.0        137251.419908        1.978
10.0        144982.402666        2.041
10.0        152925.19317        2.105
10.0        161079.79142        2.169
10.0        169446.197418        2.234
10.0        178024.411162        2.3
10.0        186814.432653        2.367
10.0        195816.261891        2.435
10.0        205029.898875        2.504
10.0        214455.343607        2.573
10.0        224092.596085        2.643
10.0        233941.65631        2.715
10.0        244002.524282        2.787
10.0        254275.2        2.86

Root_Chord: 0.8
VELOCITY        HEIGHT          MACH    
60.20101        0.0        0.0
60.20101        105.903873        0.051
60.20101        423.615494        0.102
160.603        953.13486        0.154
60.20101        1694.461974        0.205
110.402        2647.596835        0.256
110.402        3812.539442        0.308
110.402        5189.289796        0.359
160.603        6777.847897        0.411
160.603        8578.213744        0.462
160.603        10590.387339        0.514
210.804        12814.36868        0.566
411.608        15250.157768        0.619
361.407        17897.754602        0.671
461.809        20757.159184        0.724
1315.226        23828.371512        0.777
1867.437        27111.391587        0.83
2670.653        30606.219409        0.884
3875.477        34312.854977        0.937
5481.91        38231.298292        0.991
8443.769        42361.549354        1.046
10.0        46703.608163        1.101
160.603        51257.474719        1.156
10.0        56023.149021        1.211
10.0        61000.63107        1.267
10.0        66189.920866        1.324
10.0        71591.018409        1.38
10.0        77203.923698        1.438
10.0        83028.636735        1.495
10.0        89065.157518        1.554
10.0        95313.486047        1.613
10.0        101773.622324        1.672
10.0        108445.566347        1.732
10.0        115329.318117        1.792
10.0        122424.877634        1.853
10.0        129732.244898        1.915
10.0        137251.419908        1.978
10.0        144982.402666        2.041
10.0        152925.19317        2.105
10.0        161079.79142        2.169
10.0        169446.197418        2.234
10.0        178024.411162        2.3
10.0        186814.432653        2.367
10.0        195816.261891        2.435
10.0        205029.898875        2.504
10.0        214455.343607        2.573
10.0        224092.596085        2.643
10.0        233941.65631        2.715
10.0        244002.524282        2.787
10.0        254275.2        2.86

Root_Chord: 0.9
VELOCITY        HEIGHT          MACH    
461.809        0.0        0.0
461.809        105.903873        0.051
461.809        423.615494        0.102
512.0101        953.13486        0.154
562.2111        1694.461974        0.205
562.2111        2647.596835        0.256
662.6131        3812.539442        0.308
763.0151        5189.289796        0.359
1064.221        6777.847897        0.411
1114.422        8578.213744        0.462
1315.226        10590.387339        0.514
1817.236        12814.36868        0.566
2168.643        15250.157768        0.619
2821.256        17897.754602        0.671
3574.271        20757.159184        0.724
8293.166        23828.371512        0.777
10.0        27111.391587        0.83
60.20101        30606.219409        0.884
10.0        34312.854977        0.937
10.0        38231.298292        0.991
10.0        42361.549354        1.046
10.0        46703.608163        1.101
10.0        51257.474719        1.156
10.0        56023.149021        1.211
160.603        61000.63107        1.267
160.603        66189.920866        1.324
10.0        71591.018409        1.38
10.0        77203.923698        1.438
10.0        83028.636735        1.495
10.0        89065.157518        1.554
10.0        95313.486047        1.613
10.0        101773.622324        1.672
10.0        108445.566347        1.732
10.0        115329.318117        1.792
10.0        122424.877634        1.853
10.0        129732.244898        1.915
10.0        137251.419908        1.978
10.0        144982.402666        2.041
10.0        152925.19317        2.105
10.0        161079.79142        2.169
10.0        169446.197418        2.234
10.0        178024.411162        2.3
10.0        186814.432653        2.367
10.0        195816.261891        2.435
10.0        205029.898875        2.504
10.0        214455.343607        2.573
10.0        224092.596085        2.643
10.0        233941.65631        2.715
60.20101        244002.524282        2.787
60.20101        254275.2        2.86

Root_Chord: 1.0
VELOCITY        HEIGHT          MACH    
10.0        0.0        0.0
10.0        105.903873        0.051
10.0        423.615494        0.102
10.0        953.13486        0.154
10.0        1694.461974        0.205
10.0        2647.596835        0.256
10.0        3812.539442        0.308
10.0        5189.289796        0.359
10.0        6777.847897        0.411
10.0        8578.213744        0.462
10.0        10590.387339        0.514
10.0        12814.36868        0.566
10.0        15250.157768        0.619
10.0        17897.754602        0.671
10.0        20757.159184        0.724
10.0        23828.371512        0.777
10.0        27111.391587        0.83
10.0        30606.219409        0.884
10.0        34312.854977        0.937
10.0        38231.298292        0.991
10.0        42361.549354        1.046
10.0        46703.608163        1.101
10.0        51257.474719        1.156
10.0        56023.149021        1.211
10.0        61000.63107        1.267
10.0        66189.920866        1.324
10.0        71591.018409        1.38
10.0        77203.923698        1.438
