Semi_Span: 0.15
VELOCITY        HEIGHT          MACH    
110.402        0.0        0.0
10.0        105.903873        0.051
60.20101        423.615494        0.102
10.0        953.13486        0.154
10.0        1694.461974        0.205
60.20101        2647.596835        0.256
110.402        3812.539442        0.308
10.0        5189.289796        0.359
10.0        6777.847897        0.411
10.0        8578.213744        0.462
10.0        10590.387339        0.514
60.20101        12814.36868        0.566
60.20101        15250.157768        0.619
10.0        17897.754602        0.671
60.20101        20757.159184        0.724
10.0        23828.371512        0.777
10.0        27111.391587        0.83
110.402        30606.219409        0.884
10.0        34312.854977        0.937
160.603        38231.298292        0.991
10.0        42361.549354        1.046
60.20101        46703.608163        1.101
160.603        51257.474719        1.156
10.0        56023.149021        1.211
10.0        61000.63107        1.267
10.0        66189.920866        1.324
10.0        71591.018409        1.38
10.0        77203.923698        1.438
10.0        83028.636735        1.495
10.0        89065.157518        1.554
10.0        95313.486047        1.613
10.0        101773.622324        1.672
10.0        108445.566347        1.732
10.0        115329.318117        1.792
10.0        122424.877634        1.853
10.0        129732.244898        1.915
10.0        137251.419908        1.978
10.0        144982.402666        2.041
10.0        152925.19317        2.105
10.0        161079.79142        2.169
10.0        169446.197418        2.234
60.20101        178024.411162        2.3
60.20101        186814.432653        2.367
60.20101        195816.261891        2.435
60.20101        205029.898875        2.504
60.20101        214455.343607        2.573
60.20101        224092.596085        2.643
60.20101        233941.65631        2.715
10.0        244002.524282        2.787
10.0        254275.2        2.86

Semi_Span: 0.2875
VELOCITY        HEIGHT          MACH    
60.20101        0.0        0.0
110.402        105.903873        0.051
60.20101        423.615494        0.102
110.402        953.13486        0.154
60.20101        1694.461974        0.205
110.402        2647.596835        0.256
60.20101        3812.539442        0.308
60.20101        5189.289796        0.359
60.20101        6777.847897        0.411
60.20101        8578.213744        0.462
110.402        10590.387339        0.514
110.402        12814.36868        0.566
160.603        15250.157768        0.619
210.804        17897.754602        0.671
261.005        20757.159184        0.724
712.8141        23828.371512        0.777
1064.221        27111.391587        0.83
1566.231        30606.219409        0.884
2218.844        34312.854977        0.937
3373.467        38231.298292        0.991
5431.709        42361.549354        1.046
7891.558        46703.608163        1.101
60.20101        51257.474719        1.156
60.20101        56023.149021        1.211
10.0        61000.63107        1.267
10.0        66189.920866        1.324
10.0        71591.018409        1.38
10.0        77203.923698        1.438
10.0        83028.636735        1.495
10.0        89065.157518        1.554
10.0        95313.486047        1.613
10.0        101773.622324        1.672
10.0        108445.566347        1.732
160.603        115329.318117        1.792
160.603        122424.877634        1.853
160.603        129732.244898        1.915
160.603        137251.419908        1.978
160.603        144982.402666        2.041
160.603        152925.19317        2.105
160.603        161079.79142        2.169
160.603        169446.197418        2.234
110.402        178024.411162        2.3
110.402        186814.432653        2.367
110.402        195816.261891        2.435
110.402        205029.898875        2.504
110.402        214455.343607        2.573
110.402        224092.596085        2.643
110.402        233941.65631        2.715
10.0        244002.524282        2.787
10.0        254275.2        2.86

Semi_Span: 0.42499999999999993
VELOCITY        HEIGHT          MACH    
60.20101        0.0        0.0
110.402        105.903873        0.051
160.603        423.615494        0.102
