Sweep: 0.0
VELOCITY        HEIGHT          MACH    
411.608        0.0        0.0
562.2111        105.903873        0.051
210.804        423.615494        0.102
261.005        953.13486        0.154
261.005        1694.461974        0.205
261.005        2647.596835        0.256
261.005        3812.539442        0.308
311.206        5189.289796        0.359
361.407        6777.847897        0.411
411.608        8578.213744        0.462
512.0101        10590.387339        0.514
662.6131        12814.36868        0.566
863.4171        15250.157768        0.619
1014.02        17897.754602        0.671
1214.824        20757.159184        0.724
2771.055        23828.371512        0.777
3423.668        27111.391587        0.83
4628.492        30606.219409        0.884
5983.92        34312.854977        0.937
8092.362        38231.298292        0.991
60.20101        42361.549354        1.046
10.0        46703.608163        1.101
10.0        51257.474719        1.156
60.20101        56023.149021        1.211
60.20101        61000.63107        1.267
60.20101        66189.920866        1.324
60.20101        71591.018409        1.38
60.20101        77203.923698        1.438
60.20101        83028.636735        1.495
60.20101        89065.157518        1.554
60.20101        95313.486047        1.613
60.20101        101773.622324        1.672
60.20101        108445.566347        1.732
10.0        115329.318117        1.792
10.0        122424.877634        1.853
10.0        129732.244898        1.915
10.0        137251.419908        1.978
10.0        144982.402666        2.041
10.0        152925.19317        2.105
10.0        161079.79142        2.169
10.0        169446.197418        2.234
60.20101        178024.411162        2.3
60.20101        186814.432653        2.367
60.20101        195816.261891        2.435
60.20101        205029.898875        2.504
60.20101        214455.343607        2.573
60.20101        224092.596085        2.643
60.20101        233941.65631        2.715
10.0        244002.524282        2.787
10.0        254275.2        2.86

Sweep: 7.5
VELOCITY        HEIGHT          MACH    
110.402        0.0        0.0
110.402        105.903873        0.051
60.20101        423.615494        0.102
110.402        953.13486        0.154
110.402        1694.461974        0.205
60.20101        2647.596835        0.256
60.20101        3812.539442        0.308
210.804        5189.289796        0.359
60.20101        6777.847897        0.411
60.20101        8578.213744        0.462
60.20101        10590.387339        0.514
60.20101        12814.36868        0.566
110.402        15250.157768        0.619
160.603        17897.754602        0.671
160.603        20757.159184        0.724
311.206        23828.371512        0.777
461.809        27111.391587        0.83
662.6131        30606.219409        0.884
963.8191        34312.854977        0.937
1214.824        38231.298292        0.991
1867.437        42361.549354        1.046
2369.447        46703.608163        1.101
3122.462        51257.474719        1.156
3674.673        56023.149021        1.211
5983.92        61000.63107        1.267
5983.92        66189.920866        1.324
8845.377        71591.018409        1.38
8845.377        77203.923698        1.438
8845.377        83028.636735        1.495
8845.377        89065.157518        1.554
8845.377        95313.486047        1.613
8845.377        101773.622324        1.672
8845.377        108445.566347        1.732
10.0        115329.318117        1.792
10.0        122424.877634        1.853
10.0        129732.244898        1.915
10.0        137251.419908        1.978
10.0        144982.402666        2.041
10.0        152925.19317        2.105
10.0        161079.79142        2.169
10.0        169446.197418        2.234
160.603        178024.411162        2.3
160.603        186814.432653        2.367
160.603        195816.261891        2.435
160.603        205029.898875        2.504
160.603        214455.343607        2.573
160.603        224092.596085        2.643
160.603        233941.65631        2.715
10.0        244002.524282        2.787
10.0        254275.2        2.86

Sweep: 15.0
VELOCITY        HEIGHT          MACH    
210.804        0.0        0.0
110.402        105.903873        0.051
60.20101        423.615494        0.102
60.20101        953.13486        0.154
110.402        1694.461974        0.205
160.603        2647.596835        0.256
60.20101        3812.539442        0.308
110.402        5189.289796        0.359
160.603        6777.847897        0.411
60.20101        8578.213744        0.462
160.603        10590.387339        0.514
110.402        12814.36868        0.566
160.603        15250.157768        0.619
160.603        17897.754602        0.671
160.603        20757.159184        0.724
461.809        23828.371512        0.777
712.8141        27111.391587        0.83
763.0151        30606.219409        0.884
1114.422        34312.854977        0.937
1566.231        38231.298292        0.991
2369.447        42361.549354        1.046
3222.864        46703.608163        1.101
4377.487        51257.474719        1.156
5331.307        56023.149021        1.211
9096.382        61000.63107        1.267
9096.382        66189.920866        1.324
110.402        71591.018409        1.38
110.402        77203.923698        1.438
110.402        83028.636735        1.495
110.402        89065.157518        1.554
110.402        95313.486047        1.613
110.402        101773.622324        1.672
110.402        108445.566347        1.732
10.0        115329.318117        1.792
10.0        122424.877634        1.853
10.0        129732.244898        1.915
10.0        137251.419908        1.978
10.0        144982.402666        2.041
10.0        152925.19317        2.105
10.0        161079.79142        2.169
10.0        169446.197418        2.234
10.0        178024.411162        2.3
10.0        186814.432653        2.367
10.0        195816.261891        2.435
10.0        205029.898875        2.504
10.0        214455.343607        2.573
10.0        224092.596085        2.643
10.0        233941.65631        2.715
10.0        244002.524282        2.787
10.0        254275.2        2.86

Sweep: 22.5
VELOCITY        HEIGHT          MACH    
10.0        0.0        0.0
10.0        105.903873        0.051
10.0        423.615494        0.102
60.20101        953.13486        0.154
10.0        1694.461974        0.205
10.0        2647.596835        0.256
60.20101        3812.539442        0.308
10.0        5189.289796        0.359
10.0        6777.847897        0.411
10.0        8578.213744        0.462
10.0        10590.387339        0.514
10.0        12814.36868        0.566
10.0        15250.157768        0.619
10.0        17897.754602        0.671
60.20101        20757.159184        0.724
60.20101        23828.371512        0.777
60.20101        27111.391587        0.83
110.402        30606.219409        0.884
110.402        34312.854977        0.937
261.005        38231.298292        0.991
261.005        42361.549354        1.046
461.809        46703.608163        1.101
562.2111        51257.474719        1.156
813.2161        56023.149021        1.211
1616.432        61000.63107        1.267
1616.432        66189.920866        1.324
2821.256        71591.018409        1.38
2821.256        77203.923698        1.438
2821.256        83028.636735        1.495
2821.256        89065.157518        1.554
2821.256        95313.486047        1.613
2821.256        101773.622324        1.672
2821.256        108445.566347        1.732
3473.869        115329.318117        1.792
3473.869        122424.877634        1.853
3473.869        129732.244898        1.915
3473.869        137251.419908        1.978
3473.869        144982.402666        2.041
3473.869        152925.19317        2.105
3473.869        161079.79142        2.169
3473.869        169446.197418        2.234
4076.281        178024.411162        2.3
4076.281        186814.432653        2.367
4076.281        195816.261891        2.435
4076.281        205029.898875        2.504
4076.281        214455.343607        2.573
4076.281        224092.596085        2.643
4076.281        233941.65631        2.715
4578.291        244002.524282        2.787
4578.291        254275.2        2.86

Sweep: 30.0
VELOCITY        HEIGHT          MACH    
411.608        0.0        0.0
361.407        105.903873        0.051
210.804        423.615494        0.102
311.206        953.13486        0.154
311.206        1694.461974        0.205
261.005        2647.596835        0.256
311.206        3812.539442        0.308
311.206        5189.289796        0.359
361.407        6777.847897        0.411
562.2111        8578.213744        0.462
512.0101        10590.387339        0.514
612.4121        12814.36868        0.566
763.0151        15250.157768        0.619
913.6181        17897.754602        0.671
1164.623        20757.159184        0.724
2419.648        23828.371512        0.777
3122.462        27111.391587        0.83
4126.482        30606.219409        0.884
5331.307        34312.854977        0.937
7038.141        38231.298292        0.991
10000.0        42361.549354        1.046
60.20101        46703.608163        1.101
10.0        51257.474719        1.156
10.0        56023.149021        1.211
10.0        61000.63107        1.267
10.0        66189.920866        1.324
60.20101        71591.018409        1.38
60.20101        77203.923698        1.438
60.20101        83028.636735        1.495
60.20101        89065.157518        1.554
60.20101        95313.486047        1.613
60.20101        101773.622324        1.672
60.20101        108445.566347        1.732
10.0        115329.318117        1.792
10.0        122424.877634        1.853
10.0        129732.244898        1.915
10.0        137251.419908        1.978
10.0        144982.402666        2.041
10.0        152925.19317        2.105
10.0        161079.79142        2.169
10.0        169446.197418        2.234
10.0        178024.411162        2.3
10.0        186814.432653        2.367
10.0        195816.261891        2.435
10.0        205029.898875        2.504
10.0        214455.343607        2.573
10.0        224092.596085        2.643
10.0        233941.65631        2.715
10.0        244002.524282        2.787
10.0        254275.2        2.86
