Taper: 0.4
VELOCITY        HEIGHT          MACH    
411.608        0.0        0.0
562.2111        105.903873        0.051
210.804        423.615494        0.102
261.005        953.13486        0.154
261.005        1694.461974        0.205
261.005        2647.596835        0.256
261.005        3812.539442        0.308
311.206        5189.289796        0.359
361.407        6777.847897        0.411
411.608        8578.213744        0.462
512.0101        10590.387339        0.514
662.6131        12814.36868        0.566
863.4171        15250.157768        0.619
1014.02        17897.754602        0.671
1214.824        20757.159184        0.724
2771.055        23828.371512        0.777
3423.668        27111.391587        0.83
4628.492        30606.219409        0.884
5983.92        34312.854977        0.937
8092.362        38231.298292        0.991
60.20101        42361.549354        1.046
10.0        46703.608163        1.101
10.0        51257.474719        1.156
60.20101        56023.149021        1.211
60.20101        61000.63107        1.267
60.20101        66189.920866        1.324
60.20101        71591.018409        1.38
60.20101        77203.923698        1.438
60.20101        83028.636735        1.495
60.20101        89065.157518        1.554
60.20101        95313.486047        1.613
60.20101        101773.622324        1.672
60.20101        108445.566347        1.732
10.0        115329.318117        1.792
10.0        122424.877634        1.853
10.0        129732.244898        1.915
10.0        137251.419908        1.978
10.0        144982.402666        2.041
10.0        152925.19317        2.105
10.0        161079.79142        2.169
10.0        169446.197418        2.234
60.20101        178024.411162        2.3
60.20101        186814.432653        2.367
60.20101        195816.261891        2.435
60.20101        205029.898875        2.504
60.20101        214455.343607        2.573
60.20101        224092.596085        2.643
60.20101        233941.65631        2.715
10.0        244002.524282        2.787
10.0        254275.2        2.86

Taper: 0.5
VELOCITY        HEIGHT          MACH    
60.20101        0.0        0.0
60.20101        105.903873        0.051
110.402        423.615494        0.102
210.804        953.13486        0.154
60.20101        1694.461974        0.205
110.402        2647.596835        0.256
60.20101        3812.539442        0.308
110.402        5189.289796        0.359
110.402        6777.847897        0.411
461.809        8578.213744        0.462
110.402        10590.387339        0.514
210.804        12814.36868        0.566
160.603        15250.157768        0.619
210.804        17897.754602        0.671
261.005        20757.159184        0.724
763.0151        23828.371512        0.777
963.8191        27111.391587        0.83
1415.628        30606.219409        0.884
1917.638        34312.854977        0.937
2720.854        38231.298292        0.991
4076.281        42361.549354        1.046
5532.111        46703.608163        1.101
7389.548        51257.474719        1.156
9096.382        56023.149021        1.211
10.0        61000.63107        1.267
10.0        66189.920866        1.324
10.0        71591.018409        1.38
10.0        77203.923698        1.438
10.0        83028.636735        1.495
10.0        89065.157518        1.554
10.0        95313.486047        1.613
10.0        101773.622324        1.672
10.0        108445.566347        1.732
60.20101        115329.318117        1.792
60.20101        122424.877634        1.853
60.20101        129732.244898        1.915
60.20101        137251.419908        1.978
60.20101        144982.402666        2.041
60.20101        152925.19317        2.105
60.20101        161079.79142        2.169
60.20101        169446.197418        2.234
10.0        178024.411162        2.3
10.0        186814.432653        2.367
10.0        195816.261891        2.435
10.0        205029.898875        2.504
10.0        214455.343607        2.573
10.0        224092.596085        2.643
10.0        233941.65631        2.715
10.0        244002.524282        2.787
10.0        254275.2        2.86

Taper: 0.6000000000000001
VELOCITY        HEIGHT          MACH    
1315.226        0.0        0.0
461.809        105.903873        0.051
10.0        423.615494        0.102
10.0        953.13486        0.154
10.0        1694.461974        0.205
10.0        2647.596835        0.256
10.0        3812.539442        0.308
10.0        5189.289796        0.359
10.0        6777.847897        0.411
10.0        8578.213744        0.462
60.20101        10590.387339        0.514
60.20101        12814.36868        0.566
110.402        15250.157768        0.619
60.20101        17897.754602        0.671
60.20101        20757.159184        0.724
110.402        23828.371512        0.777
160.603        27111.391587        0.83
261.005        30606.219409        0.884
361.407        34312.854977        0.937
562.2111        38231.298292        0.991
913.6181        42361.549354        1.046
1315.226        46703.608163        1.101
1867.437        51257.474719        1.156
2419.648        56023.149021        1.211
4578.291        61000.63107        1.267
4578.291        66189.920866        1.324
7439.749        71591.018409        1.38
7439.749        77203.923698        1.438
7439.749        83028.636735        1.495
7439.749        89065.157518        1.554
7439.749        95313.486047        1.613
7439.749        101773.622324        1.672
7439.749        108445.566347        1.732
8945.779        115329.318117        1.792
8945.779        122424.877634        1.853
8945.779        129732.244898        1.915
8945.779        137251.419908        1.978
8945.779        144982.402666        2.041
8945.779        152925.19317        2.105
8945.779        161079.79142        2.169
8945.779        169446.197418        2.234
10.0        178024.411162        2.3
10.0        186814.432653        2.367
10.0        195816.261891        2.435
10.0        205029.898875        2.504
10.0        214455.343607        2.573
10.0        224092.596085        2.643
10.0        233941.65631        2.715
10.0        244002.524282        2.787
10.0        254275.2        2.86

Taper: 0.7000000000000001
VELOCITY        HEIGHT          MACH    
863.4171        0.0        0.0
662.6131        105.903873        0.051
1516.03        423.615494        0.102
1616.432        953.13486        0.154
1716.834        1694.461974        0.205
1917.638        2647.596835        0.256
2018.04        3812.539442        0.308
2369.447        5189.289796        0.359
2570.251        6777.847897        0.411
3022.06        8578.213744        0.462
3574.271        10590.387339        0.514
4176.683        12814.36868        0.566
5080.302        15250.157768        0.619
6285.126        17897.754602        0.671
7941.759        20757.159184        0.724
10.0        23828.371512        0.777
10.0        27111.391587        0.83
60.20101        30606.219409        0.884
10.0        34312.854977        0.937
160.603        38231.298292        0.991
10.0        42361.549354        1.046
10.0        46703.608163        1.101
10.0        51257.474719        1.156
10.0        56023.149021        1.211
10.0        61000.63107        1.267
10.0        66189.920866        1.324
60.20101        71591.018409        1.38
60.20101        77203.923698        1.438
60.20101        83028.636735        1.495
60.20101        89065.157518        1.554
60.20101        95313.486047        1.613
60.20101        101773.622324        1.672
60.20101        108445.566347        1.732
10.0        115329.318117        1.792
10.0        122424.877634        1.853
10.0        129732.244898        1.915
10.0        137251.419908        1.978
10.0        144982.402666        2.041
10.0        152925.19317        2.105
10.0        161079.79142        2.169
10.0        169446.197418        2.234
10.0        178024.411162        2.3
10.0        186814.432653        2.367
10.0        195816.261891        2.435
10.0        205029.898875        2.504
10.0        214455.343607        2.573
10.0        224092.596085        2.643
10.0        233941.65631        2.715
110.402        244002.524282        2.787
110.402        254275.2        2.86

Taper: 0.8
VELOCITY        HEIGHT          MACH    
1315.226        0.0        0.0
1465.829        105.903873        0.051
1265.025        423.615494        0.102
1315.226        953.13486        0.154
1516.03        1694.461974        0.205
1516.03        2647.596835        0.256
1666.633        3812.539442        0.308
1867.437        5189.289796        0.359
2269.045        6777.847897        0.411
2419.648        8578.213744        0.462
3022.06        10590.387339        0.514
3423.668        12814.36868        0.566
4126.482        15250.157768        0.619
5130.503        17897.754602        0.671
6435.729        20757.159184        0.724
10.0        23828.371512        0.777
10.0        27111.391587        0.83
10.0        30606.219409        0.884
10.0        34312.854977        0.937
10.0        38231.298292        0.991
10.0        42361.549354        1.046
10.0        46703.608163        1.101
60.20101        51257.474719        1.156
10.0        56023.149021        1.211
10.0        61000.63107        1.267
10.0        66189.920866        1.324
110.402        71591.018409        1.38
110.402        77203.923698        1.438
110.402        83028.636735        1.495
110.402        89065.157518        1.554
110.402        95313.486047        1.613
110.402        101773.622324        1.672
110.402        108445.566347        1.732
10.0        115329.318117        1.792
10.0        122424.877634        1.853
10.0        129732.244898        1.915
10.0        137251.419908        1.978
10.0        144982.402666        2.041
10.0        152925.19317        2.105
10.0        161079.79142        2.169
10.0        169446.197418        2.234
110.402        178024.411162        2.3
110.402        186814.432653        2.367
110.402        195816.261891        2.435
110.402        205029.898875        2.504
110.402        214455.343607        2.573
110.402        224092.596085        2.643
110.402        233941.65631        2.715
10.0        244002.524282        2.787
10.0        254275.2        2.86
