Foil_Camber_Position: 0.1
VELOCITY        HEIGHT          MACH    
411.608        0.0        0.0
612.4121        3139.2        0.279
1164.623        12556.8        0.561
6686.734        28252.8        0.848
10.0        50227.2        1.144
10.0        78480.0        1.451
10.0        113011.2        1.772
10.0        153820.8        2.112
60.20101        200908.8        2.473
10.0        254275.2        2.86

Foil_Camber_Position: 0.1
VELOCITY        HEIGHT          MACH    
10.0        0.0        0.0
110.402        3139.2        0.279
60.20101        12556.8        0.561
110.402        28252.8        0.848
1214.824        50227.2        1.144
5281.106        78480.0        1.451
6536.131        113011.2        1.772
6536.131        153820.8        2.112
7590.352        200908.8        2.473
8594.372        254275.2        2.86
