Foil_Thickness: 0.2
VELOCITY        HEIGHT          MACH    
160.603        0.0        0.0
210.804        25.943802        0.025
10.0        103.775207        0.051
10.0        233.494215        0.076
10.0        415.100826        0.101
60.20101        648.595041        0.127
60.20101        933.97686        0.152
60.20101        1271.246281        0.177
60.20101        1660.403306        0.203
110.402        2101.447934        0.228
60.20101        2594.380165        0.254
60.20101        3139.2        0.279
60.20101        3735.907438        0.304
110.402        4384.502479        0.33
160.603        5084.985124        0.355
60.20101        5837.355372        0.381
60.20101        6641.613223        0.407
60.20101        7497.758678        0.432
60.20101        8405.791736        0.458
60.20101        9365.712397        0.483
110.402        10377.520661        0.509
110.402        11441.216529        0.535
60.20101        12556.8        0.561
311.206        13724.271074        0.587
110.402        14943.629752        0.612
160.603        16214.876033        0.638
110.402        17538.009917        0.664
110.402        18913.031405        0.69
110.402        20339.940496        0.717
160.603        21818.73719        0.743
261.005        23349.421488        0.769
361.407        24931.993388        0.795
461.809        26566.452893        0.822
512.0101        28252.8        0.848
562.2111        29991.034711        0.874
662.6131        31781.157025        0.901
813.2161        33623.166942        0.928
1014.02        35517.064463        0.954
1265.025        37462.849587        0.981
1415.628        39460.522314        1.008
1817.236        41510.082645        1.035
2218.844        43611.530579        1.062
2469.849        45764.866116        1.089
3172.663        47970.089256        1.116
4076.281        50227.2        1.144
4076.281        52536.198347        1.171
4779.095        54897.084298        1.198
6234.925        57309.857851        1.226
8192.764        59774.519008        1.254
8192.764        62291.067769        1.281
8192.764        64859.504132        1.309
10.0        67479.828099        1.337
10.0        70152.039669        1.365
10.0        72876.138843        1.394
10.0        75652.12562        1.422
10.0        78480.0        1.451
10.0        81359.761983        1.479
10.0        84291.41157        1.508
10.0        87274.94876        1.537
10.0        90310.373554        1.566
10.0        93397.68595        1.595
10.0        96536.88595        1.624
10.0        99727.973554        1.653
10.0        102970.94876        1.683
10.0        106265.81157        1.712
10.0        109612.561983        1.742
10.0        113011.2        1.772
10.0        116461.72562        1.802
10.0        119964.138843        1.832
10.0        123518.439669        1.863
10.0        127124.628099        1.893
10.0        130782.704132        1.924
10.0        134492.667769        1.955
10.0        138254.519008        1.986
10.0        142068.257851        2.017
10.0        145933.884298        2.048
10.0        149851.398347        2.08
10.0        153820.8        2.112
10.0        157842.089256        2.144
10.0        161915.266116        2.176
10.0        166040.330579        2.208
10.0        170217.282645        2.24
60.20101        174446.122314        2.273
60.20101        178726.849587        2.306
60.20101        183059.464463        2.339
60.20101        187443.966942        2.372
60.20101        191880.357025        2.406
60.20101        196368.634711        2.439
60.20101        200908.8        2.473
60.20101        205500.852893        2.507
60.20101        210144.793388        2.541
60.20101        214840.621488        2.576
60.20101        219588.33719        2.611
60.20101        224387.940496        2.646
60.20101        229239.431405        2.681
60.20101        234142.809917        2.716
60.20101        239098.076033        2.752
60.20101        244105.229752        2.788
60.20101        249164.271074        2.824
60.20101        254275.2        2.86

Foil_Thickness: 0.4
VELOCITY        HEIGHT          MACH    
10.0        0.0        0.0
160.603        25.943802        0.025
10.0        103.775207        0.051
10.0        233.494215        0.076
10.0        415.100826        0.101
60.20101        648.595041        0.127
60.20101        933.97686        0.152
110.402        1271.246281        0.177
110.402        1660.403306        0.203
60.20101        2101.447934        0.228
110.402        2594.380165        0.254
60.20101        3139.2        0.279
110.402        3735.907438        0.304
60.20101        4384.502479        0.33
60.20101        5084.985124        0.355
60.20101        5837.355372        0.381
60.20101        6641.613223        0.407
60.20101        7497.758678        0.432
60.20101        8405.791736        0.458
60.20101        9365.712397        0.483
60.20101        10377.520661        0.509
60.20101        11441.216529        0.535
160.603        12556.8        0.561
60.20101        13724.271074        0.587
60.20101        14943.629752        0.612
60.20101        16214.876033        0.638
160.603        17538.009917        0.664
110.402        18913.031405        0.69
110.402        20339.940496        0.717
110.402        21818.73719        0.743
261.005        23349.421488        0.769
461.809        24931.993388        0.795
411.608        26566.452893        0.822
461.809        28252.8        0.848
562.2111        29991.034711        0.874
662.6131        31781.157025        0.901
