Root_Chord: 0.6
VELOCITY        HEIGHT          MACH    
60.20101        0.0        0.0
60.20101        105.903873        0.051
10.0        423.615494        0.102
10.0        953.13486        0.154
10.0        1694.461974        0.205
60.20101        2647.596835        0.256
10.0        3812.539442        0.308
160.603        5189.289796        0.359
10.0        6777.847897        0.411
10.0        8578.213744        0.462
10.0        10590.387339        0.514
10.0        12814.36868        0.566
60.20101        15250.157768        0.619
10.0        17897.754602        0.671
210.804        20757.159184        0.724
60.20101        23828.371512        0.777
60.20101        27111.391587        0.83
160.603        30606.219409        0.884
160.603        34312.854977        0.937
210.804        38231.298292        0.991
361.407        42361.549354        1.046
512.0101        46703.608163        1.101
763.0151        51257.474719        1.156
963.8191        56023.149021        1.211
2168.643        61000.63107        1.267
2168.643        66189.920866        1.324
4226.884        71591.018409        1.38
4226.884        77203.923698        1.438
4226.884        83028.636735        1.495
4226.884        89065.157518        1.554
4226.884        95313.486047        1.613
4226.884        101773.622324        1.672
4226.884        108445.566347        1.732
5582.312        115329.318117        1.792
5582.312        122424.877634        1.853
5582.312        129732.244898        1.915
5582.312        137251.419908        1.978
5582.312        144982.402666        2.041
5582.312        152925.19317        2.105
5582.312        161079.79142        2.169
5582.312        169446.197418        2.234
6937.739        178024.411162        2.3
6937.739        186814.432653        2.367
6937.739        195816.261891        2.435
6937.739        205029.898875        2.504
6937.739        214455.343607        2.573
6937.739        224092.596085        2.643
6937.739        233941.65631        2.715
8192.764        244002.524282        2.787
8192.764        254275.2        2.86

Root_Chord: 0.7
VELOCITY        HEIGHT          MACH    
10.0        0.0        0.0
10.0        105.903873        0.051
60.20101        423.615494        0.102
210.804        953.13486        0.154
60.20101        1694.461974        0.205
110.402        2647.596835        0.256
60.20101        3812.539442        0.308
60.20101        5189.289796        0.359
60.20101        6777.847897        0.411
60.20101        8578.213744        0.462
60.20101        10590.387339        0.514
60.20101        12814.36868        0.566
60.20101        15250.157768        0.619
110.402        17897.754602        0.671
110.402        20757.159184        0.724
311.206        23828.371512        0.777
461.809        27111.391587        0.83
712.8141        30606.219409        0.884
1014.02        34312.854977        0.937
1465.829        38231.298292        0.991
2369.447        42361.549354        1.046
3473.869        46703.608163        1.101
4929.698        51257.474719        1.156
6285.126        56023.149021        1.211
60.20101        61000.63107        1.267
60.20101        66189.920866        1.324
10.0        71591.018409        1.38
10.0        77203.923698        1.438
10.0        83028.636735        1.495
10.0        89065.157518        1.554
10.0        95313.486047        1.613
10.0        101773.622324        1.672
10.0        108445.566347        1.732
210.804        115329.318117        1.792
210.804        122424.877634        1.853
210.804        129732.244898        1.915
210.804        137251.419908        1.978
210.804        144982.402666        2.041
210.804        152925.19317        2.105
210.804        161079.79142        2.169
210.804        169446.197418        2.234
110.402        178024.411162        2.3
110.402        186814.432653        2.367
110.402        195816.261891        2.435
110.402        205029.898875        2.504
110.402        214455.343607        2.573
110.402        224092.596085        2.643
110.402        233941.65631        2.715
10.0        244002.524282        2.787
10.0        254275.2        2.86

Root_Chord: 0.8
VELOCITY        HEIGHT          MACH    
60.20101        0.0        0.0
261.005        105.903873        0.051
60.20101        423.615494        0.102
60.20101        953.13486        0.154
60.20101        1694.461974        0.205
60.20101        2647.596835        0.256
60.20101        3812.539442        0.308
110.402        5189.289796        0.359
110.402        6777.847897        0.411
110.402        8578.213744        0.462
160.603        10590.387339        0.514
160.603        12814.36868        0.566
210.804        15250.157768        0.619
411.608        17897.754602        0.671
411.608        20757.159184        0.724
1064.221        23828.371512        0.777
1566.231        27111.391587        0.83
2269.045        30606.219409        0.884
3273.065        34312.854977        0.937
4879.497        38231.298292        0.991
7540.151        42361.549354        1.046
10.0        46703.608163        1.101
60.20101        51257.474719        1.156
10.0        56023.149021        1.211
110.402        61000.63107        1.267
110.402        66189.920866        1.324
10.0        71591.018409        1.38
10.0        77203.923698        1.438
10.0        83028.636735        1.495
10.0        89065.157518        1.554
10.0        95313.486047        1.613
10.0        101773.622324        1.672
10.0        108445.566347        1.732
10.0        115329.318117        1.792
10.0        122424.877634        1.853
10.0        129732.244898        1.915
10.0        137251.419908        1.978
10.0        144982.402666        2.041
10.0        152925.19317        2.105
10.0        161079.79142        2.169
10.0        169446.197418        2.234
10.0        178024.411162        2.3
10.0        186814.432653        2.367
10.0        195816.261891        2.435
10.0        205029.898875        2.504
10.0        214455.343607        2.573
10.0        224092.596085        2.643
10.0        233941.65631        2.715
10.0        244002.524282        2.787
10.0        254275.2        2.86

Root_Chord: 0.9
VELOCITY        HEIGHT          MACH    
461.809        0.0        0.0
461.809        105.903873        0.051
461.809        423.615494        0.102
512.0101        953.13486        0.154
562.2111        1694.461974        0.205
612.4121        2647.596835        0.256
662.6131        3812.539442        0.308
763.0151        5189.289796        0.359
913.6181        6777.847897        0.411
1114.422        8578.213744        0.462
1365.427        10590.387339        0.514
1666.633        12814.36868        0.566
2168.643        15250.157768        0.619
2871.457        17897.754602        0.671
3624.472        20757.159184        0.724
8393.568        23828.371512        0.777
10.0        27111.391587        0.83
10.0        30606.219409        0.884
10.0        34312.854977        0.937
10.0        38231.298292        0.991
10.0        42361.549354        1.046
10.0        46703.608163        1.101
10.0        51257.474719        1.156
10.0        56023.149021        1.211
10.0        61000.63107        1.267
10.0        66189.920866        1.324
10.0        71591.018409        1.38
10.0        77203.923698        1.438
10.0        83028.636735        1.495
10.0        89065.157518        1.554
10.0        95313.486047        1.613
10.0        101773.622324        1.672
10.0        108445.566347        1.732
10.0        115329.318117        1.792
10.0        122424.877634        1.853
10.0        129732.244898        1.915
10.0        137251.419908        1.978
10.0        144982.402666        2.041
10.0        152925.19317        2.105
10.0        161079.79142        2.169
10.0        169446.197418        2.234
160.603        178024.411162        2.3
160.603        186814.432653        2.367
160.603        195816.261891        2.435
160.603        205029.898875        2.504
160.603        214455.343607        2.573
160.603        224092.596085        2.643
160.603        233941.65631        2.715
10.0        244002.524282        2.787
10.0        254275.2        2.86

Root_Chord: 1.0
VELOCITY        HEIGHT          MACH    
10.0        0.0        0.0
10.0        105.903873        0.051
10.0        423.615494        0.102
10.0        953.13486        0.154
10.0        1694.461974        0.205
10.0        2647.596835        0.256
10.0        3812.539442        0.308
10.0        5189.289796        0.359
10.0        6777.847897        0.411
10.0        8578.213744        0.462
10.0        10590.387339        0.514
10.0        12814.36868        0.566
10.0        15250.157768        0.619
10.0        17897.754602        0.671
10.0        20757.159184        0.724
10.0        23828.371512        0.777
10.0        27111.391587        0.83
10.0        30606.219409        0.884
10.0        34312.854977        0.937
10.0        38231.298292        0.991
10.0        42361.549354        1.046
10.0        46703.608163        1.101
10.0        51257.474719        1.156
10.0        56023.149021        1.211
10.0        61000.63107        1.267
10.0        66189.920866        1.324
10.0        71591.018409        1.38
10.0        77203.923698        1.438
