Sweep: 0.0
VELOCITY        HEIGHT          MACH    
411.608        0.0        0.0
411.608        105.903873        0.051
461.809        423.615494        0.102
461.809        953.13486        0.154
512.0101        1694.461974        0.205
512.0101        2647.596835        0.256
562.2111        3812.539442        0.308
662.6131        5189.289796        0.359
763.0151        6777.847897        0.411
1064.221        8578.213744        0.462
1014.02        10590.387339        0.514
1214.824        12814.36868        0.566
1465.829        15250.157768        0.619
1867.437        17897.754602        0.671
2319.246        20757.159184        0.724
4728.894        23828.371512        0.777
6134.523        27111.391587        0.83
8092.362        30606.219409        0.884
10.0        34312.854977        0.937
10.0        38231.298292        0.991
10.0        42361.549354        1.046
10.0        46703.608163        1.101
10.0        51257.474719        1.156
10.0        56023.149021        1.211
10.0        61000.63107        1.267
10.0        66189.920866        1.324
10.0        71591.018409        1.38
10.0        77203.923698        1.438
10.0        83028.636735        1.495
10.0        89065.157518        1.554
10.0        95313.486047        1.613
10.0        101773.622324        1.672
10.0        108445.566347        1.732
10.0        115329.318117        1.792
10.0        122424.877634        1.853
10.0        129732.244898        1.915
10.0        137251.419908        1.978
10.0        144982.402666        2.041
10.0        152925.19317        2.105
10.0        161079.79142        2.169
10.0        169446.197418        2.234
60.20101        178024.411162        2.3
60.20101        186814.432653        2.367
60.20101        195816.261891        2.435
60.20101        205029.898875        2.504
60.20101        214455.343607        2.573
60.20101        224092.596085        2.643
60.20101        233941.65631        2.715
10.0        244002.524282        2.787
10.0        254275.2        2.86

Sweep: 7.5
VELOCITY        HEIGHT          MACH    
110.402        0.0        0.0
110.402        105.903873        0.051
110.402        423.615494        0.102
210.804        953.13486        0.154
110.402        1694.461974        0.205
160.603        2647.596835        0.256
461.809        3812.539442        0.308
261.005        5189.289796        0.359
210.804        6777.847897        0.411
311.206        8578.213744        0.462
261.005        10590.387339        0.514
311.206        12814.36868        0.566
411.608        15250.157768        0.619
562.2111        17897.754602        0.671
612.4121        20757.159184        0.724
1315.226        23828.371512        0.777
1716.834        27111.391587        0.83
2218.844        30606.219409        0.884
2921.658        34312.854977        0.937
3925.678        38231.298292        0.991
5532.111        42361.549354        1.046
7188.744        46703.608163        1.101
9397.588        51257.474719        1.156
60.20101        56023.149021        1.211
10.0        61000.63107        1.267
10.0        66189.920866        1.324
10.0        71591.018409        1.38
10.0        77203.923698        1.438
10.0        83028.636735        1.495
10.0        89065.157518        1.554
10.0        95313.486047        1.613
10.0        101773.622324        1.672
10.0        108445.566347        1.732
10.0        115329.318117        1.792
10.0        122424.877634        1.853
10.0        129732.244898        1.915
10.0        137251.419908        1.978
10.0        144982.402666        2.041
10.0        152925.19317        2.105
10.0        161079.79142        2.169
10.0        169446.197418        2.234
10.0        178024.411162        2.3
10.0        186814.432653        2.367
10.0        195816.261891        2.435
10.0        205029.898875        2.504
10.0        214455.343607        2.573
10.0        224092.596085        2.643
10.0        233941.65631        2.715
10.0        244002.524282        2.787
10.0        254275.2        2.86

Sweep: 15.0
VELOCITY        HEIGHT          MACH    
210.804        0.0        0.0
60.20101        105.903873        0.051
160.603        423.615494        0.102
60.20101        953.13486        0.154
60.20101        1694.461974        0.205
60.20101        2647.596835        0.256
60.20101        3812.539442        0.308
160.603        5189.289796        0.359
110.402        6777.847897        0.411
60.20101        8578.213744        0.462
60.20101        10590.387339        0.514
110.402        12814.36868        0.566
261.005        15250.157768        0.619
110.402        17897.754602        0.671
512.0101        20757.159184        0.724
512.0101        23828.371512        0.777
662.6131        27111.391587        0.83
813.2161        30606.219409        0.884
1014.02        34312.854977        0.937
