Taper: 0.4
VELOCITY        HEIGHT          MACH    
411.608        0.0        0.0
411.608        105.903873        0.051
461.809        423.615494        0.102
461.809        953.13486        0.154
512.0101        1694.461974        0.205
512.0101        2647.596835        0.256
562.2111        3812.539442        0.308
662.6131        5189.289796        0.359
763.0151        6777.847897        0.411
1064.221        8578.213744        0.462
1014.02        10590.387339        0.514
1214.824        12814.36868        0.566
1465.829        15250.157768        0.619
1867.437        17897.754602        0.671
2319.246        20757.159184        0.724
4728.894        23828.371512        0.777
6134.523        27111.391587        0.83
8092.362        30606.219409        0.884
10.0        34312.854977        0.937
10.0        38231.298292        0.991
10.0        42361.549354        1.046
10.0        46703.608163        1.101
10.0        51257.474719        1.156
10.0        56023.149021        1.211
10.0        61000.63107        1.267
10.0        66189.920866        1.324
10.0        71591.018409        1.38
10.0        77203.923698        1.438
10.0        83028.636735        1.495
10.0        89065.157518        1.554
10.0        95313.486047        1.613
10.0        101773.622324        1.672
10.0        108445.566347        1.732
10.0        115329.318117        1.792
10.0        122424.877634        1.853
10.0        129732.244898        1.915
10.0        137251.419908        1.978
10.0        144982.402666        2.041
10.0        152925.19317        2.105
10.0        161079.79142        2.169
10.0        169446.197418        2.234
60.20101        178024.411162        2.3
60.20101        186814.432653        2.367
60.20101        195816.261891        2.435
60.20101        205029.898875        2.504
60.20101        214455.343607        2.573
60.20101        224092.596085        2.643
60.20101        233941.65631        2.715
10.0        244002.524282        2.787
10.0        254275.2        2.86

Taper: 0.5
VELOCITY        HEIGHT          MACH    
60.20101        0.0        0.0
60.20101        105.903873        0.051
60.20101        423.615494        0.102
60.20101        953.13486        0.154
160.603        1694.461974        0.205
60.20101        2647.596835        0.256
110.402        3812.539442        0.308
60.20101        5189.289796        0.359
110.402        6777.847897        0.411
110.402        8578.213744        0.462
110.402        10590.387339        0.514
210.804        12814.36868        0.566
110.402        15250.157768        0.619
210.804        17897.754602        0.671
210.804        20757.159184        0.724
512.0101        23828.371512        0.777
712.8141        27111.391587        0.83
1014.02        30606.219409        0.884
1465.829        34312.854977        0.937
2068.241        38231.298292        0.991
3172.663        42361.549354        1.046
4327.286        46703.608163        1.101
5883.518        51257.474719        1.156
7238.945        56023.149021        1.211
10.0        61000.63107        1.267
10.0        66189.920866        1.324
10.0        71591.018409        1.38
10.0        77203.923698        1.438
10.0        83028.636735        1.495
10.0        89065.157518        1.554
10.0        95313.486047        1.613
10.0        101773.622324        1.672
10.0        108445.566347        1.732
10.0        115329.318117        1.792
10.0        122424.877634        1.853
10.0        129732.244898        1.915
10.0        137251.419908        1.978
10.0        144982.402666        2.041
10.0        152925.19317        2.105
10.0        161079.79142        2.169
10.0        169446.197418        2.234
60.20101        178024.411162        2.3
60.20101        186814.432653        2.367
60.20101        195816.261891        2.435
60.20101        205029.898875        2.504
60.20101        214455.343607        2.573
60.20101        224092.596085        2.643
60.20101        233941.65631        2.715
210.804        244002.524282        2.787
210.804        254275.2        2.86

Taper: 0.6000000000000001
VELOCITY        HEIGHT          MACH    
1315.226        0.0        0.0
1315.226        105.903873        0.051
1315.226        423.615494        0.102
1465.829        953.13486        0.154
1465.829        1694.461974        0.205
1616.432        2647.596835        0.256
1817.236        3812.539442        0.308
1967.839        5189.289796        0.359
2218.844        6777.847897        0.411
2520.05        8578.213744        0.462
3022.06        10590.387339        0.514
3574.271        12814.36868        0.566
4377.487        15250.157768        0.619
5331.307        17897.754602        0.671
6636.533        20757.159184        0.724
60.20101        23828.371512        0.777
10.0        27111.391587        0.83
