VELOCITY        HEIGHT          MACH            TEMP            DENSITY 
0.0        0.0        0.0        790.35726558        1.226
14.26909091        25.94380165        0.025        790.33598981        1.222
28.53818182        103.77520661        0.051        790.27216591        1.211
42.80727273        233.49421488        0.076        790.16580421        1.193
57.07636364        415.10082645        0.101        790.01692186        1.168
71.34545455        648.59504132        0.127        789.82554293        1.136
85.61454545        933.9768595        0.152        789.59169831        1.099
99.88363636        1271.24628099        0.177        789.31542573        1.056
114.15272727        1660.40330579        0.203        788.99676981        1.009
128.42181818        2101.44793388        0.228        788.63578193        0.958
142.69090909        2594.38016529        0.254        788.23252035        0.904
156.96        3139.2        0.279        787.78705008        0.848
171.22909091        3735.90743802        0.304        787.29944293        0.79
185.49818182        4384.50247934        0.33        786.76977746        0.732
199.76727273        5084.98512397        0.355        786.19813899        0.674
214.03636364        5837.3553719        0.381        785.58461954        0.617
228.30545455        6641.61322314        0.407        784.92931783        0.562
242.57454545        7497.75867769        0.432        784.23233925        0.508
256.84363636        8405.79173554        0.458        783.4937958        0.457
271.11272727        9365.71239669        0.483        782.71380612        0.408
285.38181818        10377.52066116        0.509        781.89249543        0.362
299.65090909        11441.21652893        0.535        781.02999545        0.32
313.92        12556.8        0.561        780.12644445        0.281
328.18909091        13724.27107438        0.587        779.18198716        0.245
342.45818182        14943.62975207        0.612        778.19677472        0.212
356.72727273        16214.87603306        0.638        777.17096469        0.183
370.99636364        17538.00991736        0.664        776.10472096        0.157
385.26545455        18913.03140496        0.69        774.99821374        0.133
399.53454545        20339.94049587        0.717        773.85161948        0.113
413.80363636        21818.73719008        0.743        772.66512087        0.095
428.07272727        23349.4214876        0.769        771.43890675        0.08
442.34181818        24931.99338843        0.795        770.17317207        0.066
456.61090909        26566.45289256        0.822        768.86811785        0.055
470.88        28252.8        0.848        767.52395113        0.045
485.14909091        29991.03471074        0.874        766.14088488        0.037
499.41818182        31781.15702479        0.901        764.71913799        0.03
513.68727273        33623.16694215        0.928        763.25893519        0.024
527.95636364        35517.06446281        0.954        761.76050699        0.02
542.22545455        37462.84958678        0.981        760.22408961        0.016
556.49454545        39460.52231405        1.008        758.64992495        0.013
570.76363636        41510.08264463        1.035        757.03826048        0.01
585.03272727        43611.53057851        1.062        755.38934923        0.008
599.30181818        45764.8661157        1.089        753.70344967        0.007
613.57090909        47970.0892562        1.116        751.98082569        0.005
627.84        50227.2        1.144        750.22174649        0.004
642.10909091        52536.19834711        1.171        748.42648654        0.004
656.37818182        54897.08429752        1.198        746.59532549        0.003
670.64727273        57309.85785124        1.226        744.72854811        0.002
684.91636364        59774.51900826        1.254        742.82644421        0.002
699.18545455        62291.0677686        1.281        740.88930856        0.002
713.45454545        64859.50413223        1.309        738.91744084        0.002
727.72363636        67479.82809917        1.337        736.91114551        0.001
741.99272727        70152.03966942        1.365        734.87073179        0.001
756.26181818        72876.13884298        1.394        732.79651354        0.001
770.53090909        75652.12561983        1.422        730.68880922        0.001
784.8        78480.0        1.451        728.54794175        0.001
799.06909091        81359.76198347        1.479        726.37423848        0.001
813.33818182        84291.41157025        1.508        724.16803109        0.001
827.60727273        87274.94876033        1.537        721.92965549        0.001
841.87636364        90310.37355372        1.566        719.65945176        0.001
856.14545455        93397.68595041        1.595        717.35776405        0.001
870.41454545        96536.88595041        1.624        715.02494049        0.001
884.68363636        99727.97355372        1.653        712.66133312        0.001
898.95272727        102970.94876033        1.683        710.26729777        0.001
913.22181818        106265.81157025        1.712        707.843194        0.001
927.49090909        109612.56198347        1.742        705.38938502        0.001
941.76        113011.2        1.772        702.90623755        0.001
956.02909091        116461.72561983        1.802        700.39412177        0.001
970.29818182        119964.13884298        1.832        697.85341122        0.001
984.56727273        123518.43966942        1.863        695.28448271        0.001
998.83636364        127124.62809917        1.893        692.68771622        0.001
1013.10545455        130782.70413223        1.924        690.0634948        0.001
1027.37454545        134492.6677686        1.955        687.41220449        0.001
1041.64363636        138254.51900826        1.986        684.73423421        0.001
1055.91272727        142068.25785124        2.017        682.02997571        0.001
1070.18181818        145933.88429752        2.048        679.29982341        0.001
1084.45090909        149851.39834711        2.08        676.54417434        0.001
1098.72        153820.8        2.112        673.76342804        0.001
1112.98909091        157842.0892562        2.144        670.95798648        0.001
1127.25818182        161915.2661157        2.176        668.12825392        0.001
1141.52727273        166040.33057851        2.208        665.27463687        0.001
1155.79636364        170217.28264463        2.24        662.39754394        0.001
1170.06545455        174446.12231405        2.273        659.49738579        0.001
1184.33454545        178726.84958678        2.306        656.57457498        0.001
1198.60363636        183059.46446281        2.339        653.62952593        0.001
1212.87272727        187443.96694215        2.372        650.66265479        0.001
1227.14181818        191880.35702479        2.406        647.67437934        0.001
1241.41090909        196368.63471074        2.439        644.66511892        0.001
1255.68        200908.8        2.473        641.63529428        0.001
1269.94909091        205500.85289256        2.507        638.58532756        0.001
1284.21818182        210144.79338843        2.541        635.51564211        0.001
1298.48727273        214840.6214876        2.576        632.42666247        0.001
1312.75636364        219588.33719008        2.611        629.31881422        0.001
1327.02545455        224387.94049587        2.646        626.19252389        0.001
1341.29454545        229239.43140496        2.681        623.04821888        0.001
1355.56363636        234142.80991736        2.716        619.88632737        0.001
1369.83272727        239098.07603306        2.752        616.7072782        0.001
1384.10181818        244105.22975207        2.788        613.5115008        0.001
1398.37090909        249164.27107438        2.824        610.29942505        0.001
1412.64        254275.2        2.86        607.07148125        0.001
